#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
5.3273e-09 1.0891e-13 0.0000e+00 5.7307e-26 1.8373e+03 S
2.2967e-04 2.5528e-11 0.0000e+00 5.8329e-26 1.8517e+03 S
3.9606e+02 1.6250e-08 1.4709e-03 6.2820e-27 1.2987e+02 F
9.0382e+00 3.2620e-08 9.4504e-07 1.4564e-26 4.4295e+02 F
1.1284e+01 2.1796e-09 4.8774e-05 1.8152e-26 2.9395e+02 F
1.0421e+01 2.3603e-10 3.1019e-05 8.0028e-27 1.5712e+02 F
2.3091e+02 2.2187e-08 3.9224e-03 1.4225e-27 8.5906e+01 F
4.4467e+01 8.6562e-09 2.6047e-03 4.6996e-28 7.7357e+01 F
6.0501e-09 5.9785e-14 1.7310e-10 7.8116e-27 1.1504e+03 F
7.6795e-11 1.4212e-14 9.4661e-12 7.6028e-27 1.1663e+03 F
6.1657e+01 1.3120e-08 3.0666e-03 5.6677e-28 8.1814e+01 F
4.0150e-20 2.8467e-15 2.6813e-13 7.0495e-35 4.9227e+02 F
3.6958e-14 1.5863e-16 3.5897e-13 8.4632e-27 1.1050e+03 F
9.9672e-10 5.2134e-14 0.0000e+00 5.2147e-26 1.9259e+03 S
8.1912e-04 2.5785e-11 6.3589e-08 7.9166e-27 1.1538e+03 F
2.6665e+02 1.0605e-08 2.6532e-03 5.3684e-27 8.7904e+01 F
1.7101e-06 1.2751e-11 6.2578e-07 1.3210e-31 1.6948e+02 F
1.6218e-02 2.2052e-10 0.0000e+00 1.6156e-25 1.1307e+03 S
4.7631e+01 1.5004e-08 2.9124e-03 5.2580e-28 7.5247e+01 F
1.8611e-03 6.2731e-11 7.5723e-08 7.4183e-27 1.1855e+03 F
3.3783e+01 1.2133e-09 1.0017e-04 1.5722e-26 1.5928e+02 F
3.4558e-09 9.3630e-14 0.0000e+00 5.3936e-26 1.8942e+03 S
2.0155e+01 1.5983e-09 1.9921e-04 1.9607e-26 1.8495e+02 F
8.2385e+00 4.6407e-09 5.3735e-05 1.5996e-26 4.4008e+02 F
4.4161e+02 1.9527e-08 1.5317e-03 2.4908e-27 1.4797e+02 F
5.3306e-05 1.2100e-11 0.0000e+00 5.4770e-26 1.8875e+03 S
1.2156e-07 6.4905e-13 0.0000e+00 4.6918e-26 2.0332e+03 S
3.7162e+02 1.2499e-08 1.2452e-03 1.2936e-26 1.4561e+02 F
2.4138e-03 1.3023e-10 0.0000e+00 5.4463e-26 2.0086e+03 S
1.1718e-09 6.2544e-14 0.0000e+00 4.7571e-26 2.0169e+03 S
4.4694e-04 3.8368e-11 0.0000e+00 5.6714e-26 1.8946e+03 S
2.0336e-09 3.1547e-13 4.9088e-09 1.1810e-30 3.3563e+02 F
5.8540e-09 9.3468e-14 1.1112e-10 8.0702e-27 1.1317e+03 F
6.1585e+02 1.3252e-08 1.8421e-03 6.1961e-27 1.6196e+02 F
1.1995e-08 1.3408e-14 2.1162e-10 1.1894e-26 9.3041e+02 F
5.5023e+01 3.0990e-08 1.4064e-04 5.3621e-27 1.6551e+02 F
2.6359e-25 6.2101e-16 1.8806e-13 3.9592e-38 1.3304e+02 F
3.3992e-07 4.4305e-13 8.9452e-10 9.7472e-27 1.0288e+03 F
2.5012e-10 1.9082e-14 1.3860e-09 8.3954e-31 2.4171e+02 F
3.1182e-02 1.9659e-10 3.9506e-07 9.9259e-27 1.0188e+03 F
1.6875e-07 5.8568e-13 0.0000e+00 5.9902e-26 1.7960e+03 S
2.3408e-08 2.6652e-13 9.0757e-11 8.3271e-27 1.1139e+03 F
1.5833e+02 1.7284e-08 3.7430e-03 9.5538e-28 8.5583e+01 F
6.9001e-08 1.8608e-12 4.9083e-09 2.5161e-29 5.7767e+02 F
1.1117e-10 1.6838e-14 0.0000e+00 5.3777e-26 1.8967e+03 S
2.7562e-10 2.9737e-14 0.0000e+00 4.8436e-26 1.9992e+03 S
4.4150e-20 1.9134e-15 1.9974e-11 3.8453e-36 1.5579e+02 F
5.7315e+00 3.1525e-09 2.4634e-05 1.4714e-26 1.1209e+02 F
1.7053e+01 3.0322e-09 8.7610e-05 2.3599e-26 2.6483e+02 F
2.5685e-06 1.6054e-12 2.0032e-09 9.5468e-27 1.0389e+03 F
2.4712e-22 2.9464e-21 3.9507e-17 9.2275e-27 1.0578e+03 F
2.5272e-08 2.2553e-13 0.0000e+00 6.0106e-26 1.7940e+03 S
5.0482e-10 3.8161e-14 0.0000e+00 5.0821e-26 1.9510e+03 S
1.9372e-10 2.0535e-14 0.0000e+00 5.7867e-26 1.8277e+03 S
1.4814e-02 4.1975e-10 0.0000e+00 8.4486e-26 1.7894e+03 S
1.0862e-07 1.9348e-12 1.8113e-08 3.8962e-30 2.6909e+02 F
1.2041e+02 3.6037e-09 5.1933e-04 1.5832e-26 1.1662e+02 F
4.8968e-03 3.5586e-10 8.0804e-07 2.2722e-28 9.8770e+02 F
0.0000e+00 1.6470e-09 2.7713e-02 5.3437e-27 9.7153e+00 F
